,cv_accuracy,max_depth,min_samples_leaf,min_samples_split,test_accuracy
108,0.9638303459774906,5,8,4,0.9646666666666667
109,0.9630803807141864,5,10,4,0.9633333333333334
110,0.9639971863276365,5,2,6,0.9656666666666667
111,0.9641638529943032,5,4,6,0.9666666666666667
112,0.9636637835209114,5,6,6,0.965
113,0.9638303459774906,5,8,6,0.9646666666666667
114,0.9630803807141864,5,10,6,0.9633333333333334
115,0.9641638529943032,5,2,8,0.966
116,0.9641638529943032,5,4,8,0.9666666666666667
117,0.9636637835209114,5,6,8,0.965
118,0.9638303459774906,5,8,8,0.9646666666666667
119,0.9630803807141864,5,10,8,0.9633333333333334
120,0.9634971515909406,5,2,10,0.9653333333333334
121,0.9635804849242741,5,4,10,0.964
122,0.9636637835209114,5,6,10,0.965
123,0.9638303459774906,5,8,10,0.9646666666666667
124,0.9630803807141864,5,10,10,0.9633333333333334
125,0.9663305196609698,6,2,2,0.9676666666666667
126,0.9658306238710572,6,4,2,0.968
127,0.9673307280811448,6,6,2,0.9676666666666667
128,0.9668305543976656,6,8,2,0.9686666666666667
129,0.9657473600111157,6,10,2,0.9673333333333334
130,0.9663305196609698,6,2,4,0.9676666666666667
131,0.9658306238710572,6,4,4,0.968
132,0.9673307280811448,6,6,4,0.9676666666666667
133,0.9668305543976656,6,8,4,0.9686666666666667
134,0.9657473600111157,6,10,4,0.9673333333333334
135,0.966163887730999,6,2,6,0.968
136,0.9658306238710572,6,4,6,0.968
137,0.9673307280811448,6,6,6,0.9676666666666667
138,0.9668305543976656,6,8,6,0.9686666666666667
139,0.9657473600111157,6,10,6,0.9673333333333334
140,0.966163887730999,6,2,8,0.9676666666666667
141,0.9658306238710572,6,4,8,0.968
142,0.9673307280811448,6,6,8,0.9676666666666667
143,0.9668305543976656,6,8,8,0.9686666666666667
144,0.9657473600111157,6,10,8,0.9673333333333334
145,0.967497290537724,6,2,10,0.9683333333333334
146,0.9661639572043906,6,4,10,0.9673333333333334
147,0.9673307280811448,6,6,10,0.9676666666666667
148,0.9668305543976656,6,8,10,0.9686666666666667
149,0.9657473600111157,6,10,10,0.9673333333333334
150,0.9705809365013198,7,2,2,0.9733333333333334
151,0.9699975336945948,7,4,2,0.9706666666666667
152,0.969997498957899,7,6,2,0.9706666666666667
153,0.9702476379046825,7,8,2,0.9716666666666667
154,0.9688308322912323,7,10,2,0.9686666666666667
155,0.9705809365013198,7,2,4,0.9733333333333334
156,0.9699975336945948,7,4,4,0.9706666666666667
157,0.969997498957899,7,6,4,0.9706666666666667
158,0.9702476379046825,7,8,4,0.9716666666666667
159,0.9688308322912323,7,10,4,0.9686666666666667
160,0.9701642698346532,7,2,6,0.9716666666666667
161,0.9699975336945948,7,4,6,0.9706666666666667
162,0.969997498957899,7,6,6,0.9706666666666667
163,0.9702476379046825,7,8,6,0.9716666666666667
164,0.9688308322912323,7,10,6,0.9686666666666667
165,0.9704142350979575,7,2,8,0.9713333333333334
166,0.9699975336945948,7,4,8,0.9706666666666667
167,0.969997498957899,7,6,8,0.9706666666666667
168,0.9702476379046825,7,8,8,0.9716666666666667
169,0.9688308322912323,7,10,8,0.9686666666666667
170,0.9704974989578992,7,2,10,0.9703333333333334
171,0.9694141308878699,7,4,10,0.9706666666666667
172,0.969997498957899,7,6,10,0.9706666666666667
173,0.9702476379046825,7,8,10,0.9716666666666667
174,0.9688308322912323,7,10,10,0.9686666666666667
175,0.9742478115881618,8,2,2,0.9733333333333334
176,0.9742478463248577,8,4,2,0.9713333333333334
177,0.974831144921495,8,6,2,0.974
178,0.974164339308045,8,8,2,0.9716666666666667
179,0.9718310059747116,8,10,2,0.9726666666666667
180,0.9742478115881618,8,2,4,0.9733333333333334
181,0.9742478463248577,8,4,4,0.9713333333333334
182,0.974831144921495,8,6,4,0.974
183,0.974164339308045,8,8,4,0.9716666666666667
184,0.9718310059747116,8,10,4,0.9726666666666667
185,0.9739144435181325,8,2,6,0.9723333333333334
186,0.9742478463248577,8,4,6,0.9713333333333334
187,0.974831144921495,8,6,6,0.974
188,0.974164339308045,8,8,6,0.9716666666666667
189,0.9718310059747116,8,10,6,0.9726666666666667
190,0.97349774211477,8,2,8,0.9723333333333334
191,0.9742478463248577,8,4,8,0.9713333333333334
192,0.974831144921495,8,6,8,0.974
193,0.974164339308045,8,8,8,0.9716666666666667
194,0.9718310059747116,8,10,8,0.9726666666666667
195,0.9742478463248576,8,2,10,0.974
196,0.974414582464916,8,4,10,0.974
197,0.974831144921495,8,6,10,0.974
198,0.974164339308045,8,8,10,0.9716666666666667
199,0.9718310059747116,8,10,10,0.9726666666666667
200,0.977081596498541,9,2,2,0.9756666666666667
201,0.9764147561483952,9,4,2,0.9766666666666667
202,0.9764146866750035,9,6,2,0.9766666666666667
203,0.9749145477282202,9,8,2,0.9753333333333334
204,0.9742477768514659,9,10,2,0.9733333333333334
205,0.977081596498541,9,2,4,0.9756666666666667
206,0.9764147561483952,9,4,4,0.9766666666666667
207,0.9764146866750035,9,6,4,0.9766666666666667
208,0.9749145477282202,9,8,4,0.9753333333333334
209,0.9742477768514659,9,10,4,0.9733333333333334
210,0.9774147561483952,9,2,6,0.9763333333333334
211,0.9764147561483952,9,4,6,0.9766666666666667
212,0.9764146866750035,9,6,6,0.9766666666666667
213,0.9749145477282202,9,8,6,0.9753333333333334
214,0.9742477768514659,9,10,6,0.9733333333333334
215,0.9775814922884536,9,2,8,0.9776666666666667
216,0.9764147561483952,9,4,8,0.9766666666666667
217,0.9764146866750035,9,6,8,0.9766666666666667
218,0.9749145477282202,9,8,8,0.9753333333333334
219,0.9742477768514659,9,10,8,0.9733333333333334
220,0.9774981589551202,9,2,10,0.9766666666666667
221,0.9772481242184243,9,4,10,0.9766666666666667
222,0.9764146866750035,9,6,10,0.9766666666666667
223,0.9749145477282202,9,8,10,0.9753333333333334
224,0.9742477768514659,9,10,10,0.9733333333333334
225,0.9798317354453244,10,2,2,0.9796666666666667
226,0.9786649298318743,10,4,2,0.9773333333333334
227,0.9783315270251493,10,6,2,0.9766666666666667
228,0.9774981242184243,10,8,2,0.976
229,0.9759980200083367,10,10,2,0.9753333333333334
230,0.9798317354453244,10,2,4,0.9796666666666667
231,0.9786649298318743,10,4,4,0.9773333333333334
232,0.9783315270251493,10,6,4,0.9766666666666667
233,0.9774981242184243,10,8,4,0.976
234,0.9759980200083367,10,10,4,0.9753333333333334
235,0.979581596498541,10,2,6,0.978
236,0.9786649298318743,10,4,6,0.9773333333333334
237,0.9783315270251493,10,6,6,0.9766666666666667
238,0.9774981242184243,10,8,6,0.976
239,0.9759980200083367,10,10,6,0.9753333333333334
240,0.9790815617618452,10,2,8,0.9793333333333333
241,0.9786649298318743,10,4,8,0.9773333333333334
242,0.9783315270251493,10,6,8,0.9766666666666667
243,0.9774981242184243,10,8,8,0.976
244,0.9759980200083367,10,10,8,0.9753333333333334
245,0.979581596498541,10,2,10,0.9773333333333334
246,0.9786649645685703,10,4,10,0.9786666666666667
247,0.9783315270251493,10,6,10,0.9766666666666667
248,0.9774981242184243,10,8,10,0.976
249,0.9759980200083367,10,10,10,0.9753333333333334
